relax;cutoff;TP;FP;FN;TN;Precision;Recall;Accuracy;F1-Score
0.0;0.6;676.0;29.0;719.0;705.0;0.9588652482269504;0.4845878136200717;0.6486613433536872;0.6438095238095238
0.0;0.0;940.0;427.0;57.0;705.0;0.6876371616678859;0.9428284854563691;0.7726632221700329;0.7952622673434856
0.0;-0.2;940.0;431.0;53.0;705.0;0.6856309263311452;0.94662638469285;0.7726632221700329;0.7952622673434856
0.0;0.2;930.0;190.0;304.0;705.0;0.8303571428571429;0.7536466774716369;0.7679661813057773;0.790144435004248
0.0;0.8;639.0;26.0;759.0;705.0;0.9609022556390977;0.4570815450643777;0.6312822921559418;0.6194861851672322
0.0;1.0;639.0;26.0;759.0;705.0;0.9609022556390977;0.4570815450643777;0.6312822921559418;0.6194861851672322
0.0;0.4;853.0;82.0;489.0;705.0;0.9122994652406418;0.6356184798807749;0.7317989666510099;0.7492314448836188
0.0;-1.0;940.0;431.0;53.0;705.0;0.6856309263311452;0.94662638469285;0.7726632221700329;0.7952622673434856
10.0;0.8;665.0;0.0;759.0;705.0;1.0;0.4669943820224719;0.6434945984030062;0.636668262326472
10.0;0.4;935.0;0.0;489.0;705.0;1.0;0.6566011235955056;0.7703147017379052;0.7927087749046207
10.0;1.0;665.0;0.0;759.0;705.0;1.0;0.4669943820224719;0.6434945984030062;0.636668262326472
10.0;-1.0;1170.0;201.0;53.0;705.0;0.8533916849015317;0.9566639411283728;0.8806951620479098;0.9020817270624517
10.0;0.2;1099.0;21.0;304.0;705.0;0.98125;0.7833214540270849;0.8473461719116956;0.8711850971066192
10.0;0.0;1170.0;197.0;57.0;705.0;0.8558888076079005;0.9535452322738386;0.8806951620479098;0.9020817270624517
10.0;-0.2;1170.0;201.0;53.0;705.0;0.8533916849015317;0.9566639411283728;0.8806951620479098;0.9020817270624517
10.0;0.6;705.0;0.0;719.0;705.0;1.0;0.49508426966292135;0.6622827618600282;0.6622827618600282
3.0;-0.2;1085.0;286.0;53.0;705.0;0.7913931436907367;0.953427065026362;0.8407703147017379;0.8648864089278596
3.0;0.8;665.0;0.0;759.0;705.0;1.0;0.4669943820224719;0.6434945984030062;0.636668262326472
3.0;1.0;665.0;0.0;759.0;705.0;1.0;0.4669943820224719;0.6434945984030062;0.636668262326472
3.0;0.0;1085.0;282.0;57.0;705.0;0.7937088514996342;0.9500875656742557;0.8407703147017379;0.8648864089278596
3.0;0.2;1058.0;62.0;304.0;705.0;0.9446428571428571;0.7767988252569751;0.828088304368248;0.8525382755842063
3.0;0.6;705.0;0.0;719.0;705.0;1.0;0.49508426966292135;0.6622827618600282;0.6622827618600282
3.0;0.4;930.0;5.0;489.0;705.0;0.9946524064171123;0.6553911205073996;0.7679661813057773;0.790144435004248
3.0;-1.0;1085.0;286.0;53.0;705.0;0.7913931436907367;0.953427065026362;0.8407703147017379;0.8648864089278596
